basic_info,category,location,identifiers,metrics,social_media,site_info,tech_stack,company_metrics,founders,funding_data,tags,domain_aliases,parent_info,question_answers
" 'logo': 'https://logo.clearbit.com/amazon.com'}""","{'gics_code': '50203010', 'industry': 'Internet Software & Services', 'industry_group': 'Software & Services', 'naics_codes': ['519130'], 'naics_codes_2022': ['513110', '513120', '513130', '513199'], 'naics_code_main': '51', 'sector': 'Information Technology', 'sic_codes': ['8999'], 'sic_code_main': '89', 'sub_industry': 'Internet'}","{'location': '410 Terry Ave N, Seattle, WA 98109, USA', 'geo': {'city': 'Seattle', 'country': 'United States', 'countryCode': 'US', 'lat': 47.6221922, 'lng': -122.336546, 'postalCode': '98109', 'state': 'Washington', 'stateCode': 'WA', 'streetAddress': '410 Terry Avenue North', 'streetName': 'Terry Avenue North', 'streetNumber': '410', 'subPremise': None}, 'time_zone': 'America/Los_Angeles', 'utc_offset': -8}","{'us_cik': '0001018724', 'us_ein': '911646860'}","{'alexa_global_rank': 8, 'alexa_us_rank': 3, 'annual_revenue': 574800000000, 'employees': 1541000, 'employees_range': '100K+', 'estimated_annual_revenue': '$10B+', 'fiscal_year_end': 12, 'market_cap': 528230000000, 'raised': None, 'traffic_rank': 'very_high'}","{'linkedin': {'handle': 'company/amazon', 'follower_count': None, 'follower_count_raw': None}, 'twitter': {'handle': 'amazon', 'followers': 5425028, 'following': 50, 'bio': 'Delivering smiles one box at a time 📦🧡. Use @AmazonHelp for customer support and @AmazonNews for the latest.', 'follower_count': None, 'follower_count_raw': None}, 'facebook': {'handle': 'amazon', 'likes': 27789904}}","{'email_addresses': [], 'phone_numbers': []}","{'technologies': ['amazon_associates', 'amazon_ses', 'db2', 'media.net', 'grafana', 'planisware', 'marchex', 'oracle_crm', 'smartsheet', 'sybase', 'apache_kafka', 'informatica', 'sage_50cloud', 'splunk', 'stripe', 'oracle_endeca', 'appnexus', 'apache_spark', 'ibm_infosphere', 'wrike', 'sap_hybris_marketing', 'couchbase', 'atlassian_fisheye', 'dropbox', 'woo_commerce', 'workamajig', 'workday', 'atlassian_jira', 'sas_enterprise', 'oracle_cash_and_treasury_management', 'qliktech', 'oracle_peoplesoft', 'thomson_reuters_eikon', 'flexera_software', 'entrust', 'tibco_spotfire', 'oracle_data_integrator', 'trello', 'baidu_analytics', 'ibm_websphere', 'ibm_lotus_notes', 'medallia', 'sap_concur', 'rabbitmq', 'cision', 'adp', 'cloudera', 'apache_hadoop', 'couchdb', 'oracle_business_intelligence', 'aws_dynamodb', 'oracle_weblogic', 'aws_cloudwatch', 'openx', 'netsuite', 'atlassian_confluence', 'oracle_hyperion', 'mediamath', 'kentico', 'microsoft_dynamics', 'hootsuite', 'quickbooks', 'sap_crystal_reports', 'tibco_ems', 'apache_tomcat', 'microsoft_sql_server', 'hp_servers', 'hbase', 'basecamp', 'podio', 'snaplogic', 'okta', 'the_trade_desk', 'fortinet', 'mongodb', 'microsoft_project', 'ibm_cognos', 'pubmatic', 'ibm_infosphere_datastage', 'pagerduty', 'datadog', 'alteryx', 'kronos', 'dell_boomi_atomsphere', 'sas_data_integration', 'episerver', 'peoplesoft_crm', 'pentaho', 'saleslogix', 'goldengate', 'sap_sales_order_management', 'jaspersoft', 'aws_kinesis', 'nimsoft', 'salesforce_marketing_cloud', 'sap_business_objects', 'tibco_rendezvous', 'rubicon_project', 'sprinklr', 'qlikview', 'salesforce', 'atlassian_crucible', 'sugarcrm', 'oracle_human_resources', 'aws_redshift', 'sailpoint', 'statcounter', 'teradata', 'sage_crm', 'aws_lambda', 'yext', 'google_search_appliance', 'sage_intacct', 'webmethods', 'ibm_websphere_commerce', 'bluekai', 'apache_storm', 'acxiom', 'palo_alto_networks', 'pivotal_tracker', 'github', 'rsa_securid', 'zoho_crm', 'goldmine', 'microstrategy', 'oracle_fusion', 'sap_hana', 'matomo', 'netsuite_crm', 'oracle_essbase', 'unbounce', 'liferay', 'five9', 'information_builders', 'ring_central', 'apache_maven', 'klarna', 'talend', 'clearslide', 'twilio', 'mavenlink', 'apache_nifi', 'peoplesoft_sales', 'postgresql', 'gigya', 'gotomeeting', 'mysql', 'windows_server', 'soasta', 'progress_sitefinity', 'oracle_application_server', 'servicenow', 'snowflake', 'janrain', 'applepay', 'adobe_marketing_cloud', 'paychex', 'gainsight', 'quest_foglight', 'admeld', 'microsoft_power_bi', 'sitecore', 'aws_iam', 'sap_crm', 'pipedrive', 'factset', 'qradar', 'netsuite_suitecommerce', 'magnolia_cms', 'aggregate_knowledge', 'facebook_workplace', 'wix', 'neo4j', 'openid', 'hive', 'filemaker_pro', 'apache_cassandra', 'vmware_server', 'sap_human_capital_management', 'iponweb_bidswitch', 'zedo'], 'categories': ['advertising', 'email_delivery_service', 'database', 'monitoring', 'project_management_software', 'marketing_automation', 'crm', 'productivity', 'data_processing', 'data_management', 'accounting_and_finance', 'payment', 'ecommerce', 'human_capital_management', 'analytics', 'business_management', 'security', 'web_servers', 'survey', 'content_management_system', 'data_visualization', 'customer_support', 'social_sharing', 'sales_productivity', 'cloud_computing_services', 'website_optimization', 'coversion_optimization', 'web_hosting']}","{'headcount': None, 'headcount_raw': None, 'web_traffic': 'N/A', 'web_traffic_raw': None}","[['Name', 'Role'], [""<a href='https://www.linkedin.com/in/jeffbezos/' target='_blank'>Jeff Bezos</a>"", 'Founder, Chairman, and former CEO of Amazon'], [""<a href='https://www.linkedin.com/in/andyjassy/' target='_blank'>Andy Jassy</a>"", 'Co-Founder of AWS, President and CEO of Amazon']]",,"['Internet', 'E-commerce', 'Retail', 'E-commerce Solutions', 'Cloud Solutions', 'Digital Content', 'Streaming Services', 'Artificial Intelligence', 'Computer Science', 'Logistics', 'Advertising', 'Advertising Management', 'Consumer Electronics', 'Publishers', 'Broadcasting', 'Information', 'Publishing', 'Web Search', 'Web & Client Portals', 'B2C', 'E-Commerce & Marketplaces', 'Technology', 'Information Technology & Services', 'E-Commerce', 'Enterprise']","['wwamazonm.com', 'amazoni.com', 'beeg.wtf', 'aimazon.com', 'zoomazon.com', 'amazon.beer', 'amacomstore.com', 'amazaon.com', 'amamson.com', 'hobbyphile.com', 'amazonxmlservices.net', 'akmazon.com', 'amazon.cm', 'amazomc.com', 'amazon.desi', 'amazon.ninja', 'adrianasaty.com', 'internetbidder.com', 'amazon.soy', 'amazon.compare', 'amizion.com', 'amazon.consulting', 'amazonws.com', 'amazon.attorney', 'tsologic.com', 'amazonasp.com', 'amazonin.net', 'amazonwebservices.net', 'amazon.training', 'amazonamerica.com', 'amassn.com', 'aws.co', 'fledisoft.de', 'bacchanaliansociety.com', 'amazon.ltda', 'wwamazn.com', 'amazon.to', 'service-amazon.org', 'amazonc.com', 'cheapobooks.com', 'go.aws', 'filmchat.com', 'deepracer.com', 'ammmazon.com', 'pinknose.com', 'amazonshoponline.com', 'amazonretailstore.com', '89.vc', 'amazon.academy', 'amalom.com', 'amazondesigncenter.com', 'amazoid.com', 'instantbid.com', 'amazon.cl', 'amazon-1click.com', 'anmzone.com', 'amazol.com', 'amazon.country', 'indieformattingservices.com', 'amazjon.com', 'shoponamazon.com', 'amazonkorea.com', 'amazondevelopment.com', 'ls1-amazon.com', 'amizan.com', 'amaxzon.com', 'amazon-toys.com', 'amazon.website', 'amazonbiz.com', 'aoazon.com', 'amazon.one', 'amazon.foundation', 'pimzon.com', 'amazon.taxi', 'amazzi.com', 'amazon.com.kw', 'amamzon.com', 'amazon.domains', 'amazonaws.cm', '1arnazon.com', 'amazon.associates', 'e-mazon.com', 'amazln.com', 'amazon.network', 'amazononlineshop.com', 'amazonish.com', 'amazon-shop.com', 'amaaazon.com', 'theamazoncorporation.com', 'amazon.host', 'getph0r4.com', 'aamzon.com', 'amazonae.com', 'amazon.space', 'sellonamazon.com', 'amazon.navy', 'amazonr.com', 'amazion.com', 'amazonbr.com', 'amazon-development.com']","{'parent': {'domain': None}, 'ultimate_parent': {'domain': None}}",
"{'linkedin': {'handle': 'company/gstc', 'follower_count': [['When', 'Value', 'Change', '% Change'], ['Today', 47875.0, '', ''], ['14 Days Ago', 47638.0, 237.0, 0.5], ['30 Days Ago', 47299.0, 576.0, 1.22], ['90 Days Ago', 46165.0, 1710.0, 3.7], ['180 Days Ago', 44506.0, 3369.0, 7.57], ['365 Days Ago', 40217.0, 7658.0, 19.04]], 'follower_count_raw': [{'metric_value': 44356, 'timestamp': '2024-06-02'}, {'metric_value': 44506, 'timestamp': '2024-06-10'}, {'metric_value': 44630, 'timestamp': '2024-06-18'}, {'metric_value': 44715, 'timestamp': '2024-06-26'}, {'metric_value': 44833, 'timestamp': '2024-07-04'}, {'metric_value': 44984, 'timestamp': '2024-07-12'}, {'metric_value': 45109, 'timestamp': '2024-07-20'}, {'metric_value': 45213, 'timestamp': '2024-07-28'}, {'metric_value': 45357, 'timestamp': '2024-08-05'}, {'metric_value': 45482, 'timestamp': '2024-08-13'}, {'metric_value': 45608, 'timestamp': '2024-08-21'}, {'metric_value': 45901, 'timestamp': '2024-08-29'}, {'metric_value': 46120, 'timestamp': '2024-09-06'}, {'metric_value': 46276, 'timestamp': '2024-09-14'}, {'metric_value': 46446, 'timestamp': '2024-09-22'}, {'metric_value': 46647, 'timestamp': '2024-09-30'}, {'metric_value': 46794, 'timestamp': '2024-10-08'}, {'metric_value': 46939, 'timestamp': '2024-10-17'}, {'metric_value': 47076, 'timestamp': '2024-10-25'}, {'metric_value': 47232, 'timestamp': '2024-11-02'}, {'metric_value': 47325, 'timestamp': '2024-11-10'}, {'metric_value': 47480, 'timestamp': '2024-11-18'}, {'metric_value': 47701, 'timestamp': '2024-11-26'}, {'metric_value': 47875, 'timestamp': '2024-12-04'}]}, 'twitter': {'handle': 'GSTC_', 'followers': 9288, 'following': 915, 'bio': 'The Global Sustainable Tourism Council (GSTC) establishes and manages the GSTC Criteria, global sustainability standards in travel and tourism.', 'follower_count': [['When', 'Value', 'Change', '% Change'], ['Today', 9360.0, '', ''], ['14 Days Ago', None, None, None], ['30 Days Ago', None, None, None], ['90 Days Ago', None, None, None], ['180 Days Ago', None, None, None], ['365 Days Ago', None, None, None]], 'follower_count_raw': [{'metric_value': 9353, 'timestamp': '2023-09-22'}, {'metric_value': 9356, 'timestamp': '2023-10-07'}, {'metric_value': 9360, 'timestamp': '2023-10-22'}]}, 'facebook': {'handle': 'globalsustainabletourismcouncil', 'likes': 12607}}","{'email_addresses': ['info@gstcouncil.org', 'roi@gstcouncil.org', 'stef@gstcouncil.org', 'tiffany@gstcouncil.org', 'members@gstcouncil.org', 'mihee@gstcouncil.org', 'herdi@gstcouncil.org', 'natalia@gstcouncil.org', 'recognition@gstcouncil.org', 'training@gstcouncil.org'], 'phone_numbers': []}","{'technologies': ['apache', 'facebook_advertiser', 'facebook_connect', 'google_apps', 'google_tag_manager', 'linked_in_advertiser', 'mailchimp', 'mailjet', 'wordpress', 'youtube', 'google_analytics', 'db2', 'microsoft_project', 'litespeed'], 'categories': ['web_servers', 'advertising', 'authentication_services', 'productivity', 'tag_management', 'email_delivery_service', 'content_management_system', 'image_video_services', 'analytics', 'database']}","{'headcount': [['When', 'Value', 'Change', '% Change'], ['Today', 116.0, '', ''], ['14 Days Ago', 115.0, 1.0, 0.87], ['30 Days Ago', 114.0, 2.0, 1.75], ['90 Days Ago', 114.0, 2.0, 1.75], ['180 Days Ago', 108.0, 8.0, 7.41], ['365 Days Ago', 98.0, 18.0, 18.37]], 'headcount_raw': [{'metric_value': 107, 'timestamp': '2024-06-02'}, {'metric_value': 108, 'timestamp': '2024-06-10'}, {'metric_value': 109, 'timestamp': '2024-06-18'}, {'metric_value': 108, 'timestamp': '2024-06-26'}, {'metric_value': 109, 'timestamp': '2024-07-04'}, {'metric_value': 109, 'timestamp': '2024-07-12'}, {'metric_value': 109, 'timestamp': '2024-07-20'}, {'metric_value': 109, 'timestamp': '2024-07-28'}, {'metric_value': 110, 'timestamp': '2024-08-05'}, {'metric_value': 110, 'timestamp': '2024-08-13'}, {'metric_value': 111, 'timestamp': '2024-08-21'}, {'metric_value': 112, 'timestamp': '2024-08-29'}, {'metric_value': 114, 'timestamp': '2024-09-06'}, {'metric_value': 113, 'timestamp': '2024-09-14'}, {'metric_value': 114, 'timestamp': '2024-09-22'}, {'metric_value': 114, 'timestamp': '2024-09-30'}, {'metric_value': 117, 'timestamp': '2024-10-08'}, {'metric_value': 116, 'timestamp': '2024-10-17'}, {'metric_value': 113, 'timestamp': '2024-10-25'}, {'metric_value': 113, 'timestamp': '2024-11-02'}, {'metric_value': 114, 'timestamp': '2024-11-10'}, {'metric_value': 113, 'timestamp': '2024-11-18'}, {'metric_value': 115, 'timestamp': '2024-11-26'}, {'metric_value': 116, 'timestamp': '2024-12-04'}], 'web_traffic': [['When', 'Value', 'Change', '% Change'], ['Today', 50790.0, '', ''], ['14 Days Ago', 52732.0, -1942.0, -3.68], ['30 Days Ago', 55120.0, -4330.0, -7.86], ['90 Days Ago', 46360.0, 4430.0, 9.56], ['180 Days Ago', 43073.0, 7717.0, 17.92], ['365 Days Ago', 16160.0, 34630.0, 214.29]], 'web_traffic_raw': [{'metric_value': 14540, 'timestamp': '2023-08-01'}, {'metric_value': 11650, 'timestamp': '2023-09-01'}, {'metric_value': 19750, 'timestamp': '2023-10-01'}, {'metric_value': 25010, 'timestamp': '2023-11-01'}, {'metric_value': 16160, 'timestamp': '2023-12-01'}, {'metric_value': 32510, 'timestamp': '2024-01-01'}, {'metric_value': 33310, 'timestamp': '2024-02-01'}, {'metric_value': 55900, 'timestamp': '2024-03-01'}, {'metric_value': 42950, 'timestamp': '2024-04-01'}, {'metric_value': 44130, 'timestamp': '2024-05-01'}, {'metric_value': 61560, 'timestamp': '2024-06-01'}, {'metric_value': 46080, 'timestamp': '2024-07-01'}, {'metric_value': 50270, 'timestamp': '2024-08-01'}, {'metric_value': 55120, 'timestamp': '2024-09-01'}, {'metric_value': 50790, 'timestamp': '2024-10-01'}]}","[['Name', 'Role'], [""<a href='Not Available' target='_blank'>CB (Ram) Ramkumar</a>"", 'Program Director – South Asia, Vice-Chair of the GSTC Board of Directors'], [""<a href='Not Available' target='_blank'>Dr. Ioannis Pappas</a>"", 'Program Director – Mediterranean Region, Treasurer of GSTC, CEO of Green Evolution SA'], [""<a href='Not Available' target='_blank'>Randy Durband</a>"", 'CEO of GSTC']]","{'highlights': None, 'investors': [], 'last_at': None, 'last_total': 0.0, 'last_type': None, 'rounds': 0, 'stages': [['Series', 'Amount', 'Date']], 'total': 0}","['Business Associations', 'Business Organizations', 'Travel & Leisure', 'Marketplace', 'B2C']",['gstcouncil.com'],"{'parent': {'domain': None}, 'ultimate_parent': {'domain': None}}",,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
